Date,Value USD,Drop 7,Up 7,Min 7,Max 7,Mean 7,Mean Change 7,Change,Predict
05/23/1997,1.5,2.0,5.0,1.395833,1.958333,1.622023714285714,0.05357142857142857,-0.0833330000000001,-1.0
05/27/1997,1.583333,2.0,5.0,1.395833,1.729167,1.5684522857142855,0.028273857142857132,0.0520830000000001,2.0
05/28/1997,1.53125,2.0,5.0,1.395833,1.708333,1.5401784285714284,0.029017857142857144,0.0260419999999999,2.0
05/29/1997,1.505208,2.0,5.0,1.395833,1.635417,1.5111605714285712,0.0193452857142857,0.005208000000000101,2.0
05/30/1997,1.5,3.0,4.0,1.395833,1.583333,1.4918152857142857,-0.011904857142857116,-0.0104169999999999,-2.0
06/02/1997,1.510417,3.0,4.0,1.395833,1.583333,1.5037201428571427,-0.011904857142857116,0.03125,-1.0
06/03/1997,1.479167,2.0,5.0,1.479167,1.583333,1.515625,0.0119047142857143,0.0625,2.0
06/04/1997,1.416667,2.0,5.0,1.416667,1.583333,1.5037202857142855,0.005952285714285743,-0.125,-1.0
06/05/1997,1.541667,3.0,4.0,1.416667,1.541667,1.4977680000000002,-0.017857142857142856,-0.1145830000000001,-2.0
06/06/1997,1.65625,4.0,3.0,1.416667,1.65625,1.515625142857143,-0.026041714285714272,-0.03125,-2.0
06/09/1997,1.6875,4.0,3.0,1.416667,1.6875,1.5416668571428571,-0.0119047142857143,0.1041669999999999,0.0
06/10/1997,1.583333,3.0,4.0,1.416667,1.6875,1.5535715714285716,-0.004464285714285714,0.0416660000000002,-1.0
06/11/1997,1.541667,4.0,3.0,1.416667,1.6875,1.5580358571428572,-0.017857142857142856,-0.0625,-2.0
06/12/1997,1.604167,4.0,3.0,1.416667,1.6875,1.5758930000000002,-0.0238094285714286,0.0208339999999998,0.0
06/13/1997,1.583333,3.0,4.0,1.541667,1.6875,1.5997024285714283,-0.004464285714285714,0.010416000000000205,-1.0
06/16/1997,1.572917,2.0,5.0,1.541667,1.6875,1.6041667142857143,0.02157742857142856,0.0677089999999998,2.0
06/17/1997,1.505208,2.0,5.0,1.505208,1.6875,1.5825892857142858,0.025297571428571444,-0.005208999999999797,-1.0
06/18/1997,1.510417,2.0,4.0,1.505208,1.604167,1.5572917142857143,0.010416571428571456,0.0,-1.0
06/19/1997,1.510417,3.0,3.0,1.505208,1.604167,1.546875142857143,0.002232142857142857,-0.015625,-2.0
06/20/1997,1.526042,2.0,4.0,1.505208,1.604167,1.5446430000000002,0.014880999999999988,0.0260419999999999,2.0
06/23/1997,1.5,3.0,3.0,1.5,1.583333,1.529762,0.010416571428571456,-0.0104169999999999,-2.0
06/24/1997,1.510417,3.0,2.0,1.5,1.572917,1.5193454285714287,0.008928571428571428,0.0,-1.0
06/25/1997,1.510417,3.0,1.0,1.5,1.526042,1.5104168571428571,-0.0007441428571428281,0.0,0.0
06/26/1997,1.510417,2.0,2.0,1.5,1.526042,1.5111610000000002,0.0029762857142856852,0.0208339999999998,1.0
06/27/1997,1.489583,3.0,2.0,1.489583,1.526042,1.5081847142857143,-0.004464285714285714,-0.0520839999999998,-2.0
06/30/1997,1.541667,2.0,3.0,1.489583,1.541667,1.512649,0.0014881428571428426,0.0260419999999999,2.0
07/01/1997,1.515625,3.0,2.0,1.489583,1.541667,1.5111608571428572,-0.012648857142857128,-0.0729169999999999,-2.0
07/02/1997,1.588542,3.0,2.0,1.489583,1.588542,1.5238097142857143,-0.05729157142857145,-0.3229160000000002,-2.0
07/03/1997,1.911458,4.0,2.0,1.489583,1.911458,1.581101285714286,-0.06994042857142857,-0.0885419999999999,-2.0
07/07/1997,2.0,5.0,2.0,1.489583,2.0,1.6510417142857143,-0.11309514285714288,-0.3020830000000001,-2.0
07/08/1997,2.302083,6.0,1.0,1.489583,2.302083,1.764136857142857,-0.11904771428571426,-0.0208339999999998,-2.0
07/09/1997,2.322917,6.0,1.0,1.515625,2.322917,1.8831845714285715,-0.14583328571428572,-0.2395830000000001,-2.0
07/10/1997,2.5625,6.0,1.0,1.515625,2.5625,2.029017857142857,-0.11086314285714284,0.2708330000000001,0.0
07/11/1997,2.291667,5.0,2.0,1.588542,2.5625,2.139881,-0.078125,0.15625,0.0
07/14/1997,2.135417,5.0,2.0,1.911458,2.5625,2.218006,-0.07514885714285713,-0.3020830000000001,-2.0
07/15/1997,2.4375,4.0,3.0,2.0,2.5625,2.293154857142857,-0.047619000000000015,0.1041669999999999,0.0
07/16/1997,2.333333,3.0,4.0,2.135417,2.5625,2.340773857142857,0.0119047142857143,0.1145830000000001,2.0
07/17/1997,2.21875,2.0,5.0,2.135417,2.5625,2.328869142857143,0.023809571428571413,0.0625,2.0
07/18/1997,2.15625,2.0,5.0,2.135417,2.5625,2.3050595714285715,0.05431542857142858,-0.0260419999999999,-1.0
07/21/1997,2.182292,2.0,5.0,2.135417,2.4375,2.250744142857143,0.02232142857142857,0.046875,2.0
07/22/1997,2.135417,3.0,4.0,2.135417,2.4375,2.2284227142857143,-0.02232142857142857,-0.15625,-2.0
07/23/1997,2.291667,2.0,5.0,2.135417,2.4375,2.250744142857143,0.025297571428571444,0.03125,2.0
07/24/1997,2.260417,2.0,5.0,2.135417,2.333333,2.2254465714285714,0.014880857142857171,0.03125,2.0
07/25/1997,2.229167,3.0,4.0,2.135417,2.291667,2.2105657142857145,-0.014880999999999988,-0.09375,-2.0
07/28/1997,2.322917,4.0,3.0,2.135417,2.322917,2.2254467142857144,-0.04613099999999999,-0.15625,-2.0
07/29/1997,2.479167,3.0,4.0,2.135417,2.479167,2.2715777142857148,-0.03794642857142857,0.03125,-1.0
07/30/1997,2.447917,3.0,4.0,2.135417,2.479167,2.309524142857143,-0.037202285714285736,0.0520839999999998,-1.0
07/31/1997,2.395833,3.0,4.0,2.229167,2.479167,2.3467264285714293,-0.017857142857142856,-0.0208339999999998,-2.0
08/01/1997,2.416667,3.0,4.0,2.229167,2.479167,2.364583571428572,-0.007440428571428586,0.1041669999999999,-1.0
08/04/1997,2.3125,3.0,4.0,2.229167,2.479167,2.372024,0.0029762857142856852,0.1041669999999999,2.0
08/05/1997,2.208333,3.0,4.0,2.208333,2.479167,2.3690477142857143,0.01041671428571427,-0.0416669999999999,-1.0
08/06/1997,2.25,2.0,5.0,2.208333,2.479167,2.358631,0.04315485714285711,0.0729169999999999,2.0
08/07/1997,2.177083,3.0,4.0,2.177083,2.447917,2.315476142857143,0.02232142857142857,-0.1145839999999998,-1.0
08/08/1997,2.291667,4.0,3.0,2.177083,2.416667,2.2931547142857136,0.009672571428571444,-0.0364580000000001,-2.0
08/11/1997,2.328125,3.0,4.0,2.177083,2.416667,2.283482142857143,0.03125,0.1302080000000001,2.0
08/12/1997,2.197917,3.0,3.0,2.177083,2.328125,2.252232142857143,0.016369000000000015,0.0,1.0
08/13/1997,2.197917,3.0,3.0,2.177083,2.328125,2.2358631428571427,0.007440428571428586,0.0416669999999999,1.0
08/14/1997,2.15625,2.0,4.0,2.15625,2.328125,2.2284227142857143,0.0193452857142857,0.0416669999999999,2.0
08/15/1997,2.114583,2.0,4.0,2.114583,2.328125,2.2090774285714287,0.019345142857142887,0.0729160000000002,2.0
08/18/1997,2.041667,2.0,4.0,2.041667,2.328125,2.189732285714286,0.017857142857142856,-0.125,-1.0
08/19/1997,2.166667,1.0,4.0,2.041667,2.328125,2.171875142857143,0.023065428571428587,0.0,-1.0
08/20/1997,2.166667,1.0,4.0,2.041667,2.197917,2.1488097142857145,0.011904857142857116,0.0520839999999998,2.0
08/21/1997,2.114583,2.0,4.0,2.041667,2.197917,2.136904857142857,0.01041671428571427,-0.0104169999999999,-1.0
08/22/1997,2.125,3.0,3.0,2.041667,2.166667,2.1264881428571427,-0.008928571428571428,-0.09375,-2.0
08/25/1997,2.21875,4.0,2.0,2.041667,2.21875,2.1354167142857143,-0.03273814285714284,-0.125,-2.0
08/26/1997,2.34375,4.0,2.0,2.041667,2.34375,2.168154857142857,-0.0394344285714286,0.0260419999999999,0.0
08/27/1997,2.317708,4.0,2.0,2.114583,2.34375,2.2075892857142856,-0.029761857142857163,-0.0572919999999999,-2.0
08/28/1997,2.375,4.0,3.0,2.114583,2.375,2.237351142857143,-0.024553571428571428,0.0364580000000001,0.0
