Date,Open,High,Low,Close,Adj Close,Volume,Open 2,Max 7,Min 7,Change,Mean Change 7,Drop 7,Up 7,Predict,Prediction,Actual
1997-05-23,1.40625,1.520833,1.333333,1.5,1.5,15937200,1.510417,2.4375,1.40625,-0.1041669999999999,0.1324404285714286,1.0,6.0,-1.0,0,1
1997-05-27,1.510417,1.645833,1.458333,1.583333,1.583333,8697600,1.625,1.96875,1.40625,-0.1145830000000001,0.049107142857142856,2.0,5.0,-1.0,0,1
1997-05-28,1.625,1.635417,1.53125,1.53125,1.53125,4574400,1.541667,1.760417,1.40625,0.0833330000000001,0.03125,2.0,5.0,1.0,1,0
1997-05-29,1.541667,1.541667,1.479167,1.505208,1.505208,3472800,1.5,1.729167,1.40625,0.0416669999999999,0.03273814285714284,2.0,5.0,1.0,1,0
1997-05-30,1.5,1.510417,1.479167,1.5,1.5,2594400,1.510417,1.635417,1.40625,-0.010416999999999899,0.017857142857142856,3.0,4.0,-1.0,0,1
1997-06-02,1.510417,1.53125,1.5,1.510417,1.510417,591600,1.53125,1.625,1.40625,-0.0208330000000001,-0.013392857142857142,4.0,3.0,-2.0,0,1
1997-06-03,1.53125,1.53125,1.479167,1.479167,1.479167,1183200,1.479167,1.625,1.40625,0.0520830000000001,-0.01041671428571427,4.0,3.0,0.0,0,0
1997-06-04,1.479167,1.489583,1.395833,1.416667,1.416667,3080400,1.416667,1.625,1.479167,0.0625,0.013392857142857142,3.0,4.0,1.0,1,0
1997-06-05,1.416667,1.541667,1.375,1.541667,1.541667,5672400,1.515625,1.625,1.416667,-0.0989580000000001,0.015625,3.0,4.0,-1.0,0,1
1997-06-06,1.515625,1.708333,1.510417,1.65625,1.65625,7807200,1.65625,1.541667,1.416667,-0.140625,-0.016369000000000015,4.0,3.0,-2.0,0,1
1997-06-09,1.65625,1.708333,1.65625,1.6875,1.6875,2352000,1.708333,1.65625,1.416667,-0.0520830000000001,-0.029761857142857156,5.0,2.0,-2.0,0,1
1997-06-10,1.708333,1.708333,1.53125,1.583333,1.583333,5458800,1.59375,1.708333,1.416667,0.1145830000000001,-0.0119047142857143,4.0,3.0,0.0,0,0
1997-06-11,1.59375,1.604167,1.53125,1.541667,1.541667,1188000,1.583333,1.708333,1.416667,0.010416999999999899,-0.007440428571428586,3.0,4.0,-1.0,0,0
1997-06-12,1.583333,1.645833,1.552083,1.604167,1.604167,1632000,1.625,1.708333,1.416667,-0.0416669999999999,-0.020833285714285728,4.0,3.0,-2.0,0,1
1997-06-13,1.625,1.625,1.583333,1.583333,1.583333,693600,1.604167,1.708333,1.416667,0.0208330000000001,-0.026785714285714284,4.0,3.0,0.0,0,0
1997-06-16,1.604167,1.604167,1.5625,1.572917,1.572917,913200,1.598958,1.708333,1.515625,0.005208999999999797,-0.0119047142857143,3.0,4.0,-1.0,0,0
1997-06-17,1.598958,1.598958,1.494792,1.505208,1.505208,4706400,1.520833,1.708333,1.583333,0.078125,0.0193452857142857,2.0,5.0,1.0,1,0
1997-06-18,1.520833,1.536458,1.5,1.510417,1.510417,2464800,1.510417,1.708333,1.520833,0.010416000000000203,0.028273714285714315,1.0,6.0,1.0,1,0
1997-06-19,1.510417,1.53125,1.5,1.510417,1.510417,1003200,1.53125,1.625,1.510417,-0.0208330000000001,0.008928571428571428,2.0,5.0,-1.0,0,1
1997-06-20,1.53125,1.552083,1.5,1.526042,1.526042,3387600,1.541667,1.625,1.510417,-0.010416999999999899,0.005952285714285743,3.0,4.0,-1.0,0,0
1997-06-23,1.541667,1.541667,1.479167,1.5,1.5,1047600,1.505208,1.625,1.510417,0.0364589999999998,0.017113142857142844,2.0,5.0,1.0,1,0
1997-06-24,1.505208,1.526042,1.479167,1.510417,1.510417,751200,1.526042,1.604167,1.505208,-0.020833999999999797,0.011160714285714286,3.0,4.0,-1.0,0,1
1997-06-25,1.526042,1.526042,1.489583,1.510417,1.510417,2106000,1.520833,1.598958,1.505208,0.005208999999999797,0.011160714285714286,3.0,4.0,1.0,1,0
1997-06-26,1.520833,1.520833,1.505208,1.510417,1.510417,3189600,1.515625,1.541667,1.505208,0.0052080000000001014,0.0007440000000000145,3.0,4.0,1.0,1,0
1997-06-27,1.515625,1.515625,1.479167,1.489583,1.489583,1188000,1.510417,1.541667,1.505208,0.0052080000000001014,0.0,3.0,4.0,-1.0,0,0
1997-06-30,1.510417,1.598958,1.479167,1.541667,1.541667,2746800,1.541667,1.541667,1.505208,-0.03125,-0.0014881428571428426,3.0,4.0,-2.0,0,1
1997-07-01,1.541667,1.541667,1.510417,1.515625,1.515625,1292400,1.515625,1.541667,1.505208,0.0260419999999999,0.0037202857142857,2.0,5.0,1.0,1,0
1997-07-02,1.515625,1.59375,1.510417,1.588542,1.588542,3882000,1.598958,1.541667,1.505208,-0.0833330000000001,-0.013392857142857142,3.0,4.0,-2.0,0,1
1997-07-03,1.598958,1.916667,1.59375,1.911458,1.911458,12577200,1.833333,1.598958,1.510417,-0.234375,-0.04389871428571431,3.0,4.0,-2.0,0,1
1997-07-07,1.833333,2.020833,1.833333,2.0,2.0,8053200,2.041667,1.833333,1.510417,-0.2083339999999998,-0.07440485714285712,4.0,3.0,-2.0,0,1
1997-07-08,2.041667,2.333333,2.041667,2.302083,2.302083,15517200,2.302083,2.041667,1.510417,-0.2604160000000002,-0.11235114285714287,5.0,2.0,-2.0,0,1
1997-07-09,2.302083,2.385417,2.270833,2.322917,2.322917,8262000,2.333333,2.302083,1.510417,-0.03125,-0.1175594285714286,6.0,1.0,-2.0,0,1
1997-07-10,2.333333,2.572917,2.333333,2.5625,2.5625,9051600,2.520833,2.333333,1.515625,-0.1875,-0.13988085714285717,6.0,1.0,-2.0,0,1
1997-07-11,2.520833,2.520833,2.208333,2.291667,2.291667,10531200,2.322917,2.520833,1.515625,0.1979160000000002,-0.11532742857142855,6.0,1.0,0.0,0,0
1997-07-14,2.322917,2.333333,2.114583,2.135417,2.135417,4604400,2.135417,2.520833,1.598958,0.1875,-0.07663699999999997,5.0,2.0,0.0,0,0
1997-07-15,2.135417,2.479167,2.135417,2.4375,2.4375,9274800,2.447917,2.520833,1.833333,-0.3125,-0.08779771428571426,5.0,2.0,-2.0,0,1
1997-07-16,2.447917,2.494792,2.302083,2.333333,2.333333,3024000,2.34375,2.520833,2.041667,0.1041669999999999,-0.0431547142857143,4.0,3.0,0.0,0,0
1997-07-17,2.34375,2.34375,2.15625,2.21875,2.21875,3169200,2.1875,2.520833,2.135417,0.15625,0.016369000000000015,3.0,4.0,1.0,1,0
1997-07-18,2.1875,2.21875,2.15625,2.15625,2.15625,780000,2.177083,2.520833,2.135417,0.010416999999999899,0.022321428571428572,2.0,5.0,1.0,1,0
1997-07-21,2.177083,2.197917,2.145833,2.182292,2.182292,574800,2.166667,2.520833,2.135417,0.010416000000000203,0.05059514285714289,1.0,6.0,1.0,1,1
