Date,Value USD,Drop 7,Up 7,Min 7,Max 7,Mean 7,Mean Change 7,Change,Predict,Actual
08/01/2018,207.05,5.0,2.0,204.78,208.57,206.72285714285712,-1.077142857142856,-5.269999999999982,-2.0,1
07/31/2018,212.32,4.0,3.0,205.53,212.32,207.8,0.28857142857142604,7.199999999999987,-1.0,0
07/30/2018,205.12,4.0,3.0,205.12,212.32,207.51142857142844,0.1642857142857151,-2.299999999999983,-2.0,1
07/27/2018,207.42,5.0,2.0,205.12,212.32,207.34714285714287,-0.18000000000000274,-0.5400000000000205,-2.0,1
07/26/2018,207.96,4.0,3.0,205.12,212.32,207.52714285714288,0.4157142857142852,3.5800000000000125,-1.0,0
07/25/2018,204.38,4.0,3.0,204.38,212.32,207.1114285714286,0.6928571428571421,3.6999999999999886,-1.0,0
07/24/2018,200.68,3.0,4.0,200.68,212.32,206.41857142857148,1.172857142857144,1.840000000000004,2.0,0
07/23/2018,198.84,3.0,4.0,198.84,212.32,205.2457142857143,1.4814285714285715,-3.109999999999985,-1.0,1
07/20/2018,201.95,3.0,4.0,198.84,207.96,203.76428571428573,0.5028571428571443,0.3499999999999943,2.0,0
07/19/2018,201.6,3.0,4.0,198.84,207.96,203.26142857142864,0.7457142857142856,-0.5999999999999943,-1.0,1
07/18/2018,202.2,2.0,5.0,198.84,207.96,202.5157142857143,0.8414285714285735,0.12999999999999545,2.0,0
07/17/2018,202.07,2.0,5.0,198.84,204.38,201.67428571428573,0.4671428571428545,0.9599999999999796,2.0,0
07/16/2018,201.11,3.0,4.0,198.84,202.2,201.20714285714286,-0.07142857142857142,-0.06999999999999318,-2.0,1
07/13/2018,201.18,3.0,4.0,198.84,202.2,201.27857142857147,-0.0685714285714271,1.8600000000000136,-1.0,0
07/12/2018,199.32,2.0,5.0,199.32,202.2,201.3471428571429,0.6099999999999974,1.6399999999999864,2.0,0
07/11/2018,197.68,3.0,4.0,197.68,202.2,200.7371428571429,0.01714285714285779,-3.7999999999999834,-1.0,1
07/10/2018,201.48,2.0,5.0,197.68,202.2,200.72000000000008,0.2385714285714268,0.9499999999999886,2.0,0
07/09/2018,200.53,2.0,5.0,197.68,202.07,200.4814285714286,0.6585714285714265,3.0699999999999936,2.0,0
07/06/2018,197.46,2.0,5.0,197.46,201.48,199.82285714285717,0.53857142857143,0.12000000000000455,2.0,0
07/05/2018,197.34,1.0,6.0,197.34,201.48,199.28428571428574,0.7642857142857135,1.5099999999999911,2.0,0
07/03/2018,195.83,1.0,6.0,195.83,201.48,198.52,0.5428571428571404,0.3100000000000023,2.0,0
07/02/2018,195.52,2.0,5.0,195.52,201.48,197.97714285714287,0.1371428571428583,-1.1999999999999886,-1.0,1
06/29/2018,196.72,1.0,6.0,195.52,201.48,197.84,0.7871428571428558,0.75,2.0,0
06/28/2018,195.97,1.0,6.0,195.52,200.53,197.05285714285716,0.8014285714285734,1.0500000000000114,2.0,0
06/27/2018,194.92,2.0,5.0,194.92,197.46,196.2514285714286,0.12571428571428506,-1.660000000000025,-1.0,1
06/26/2018,196.58,2.0,5.0,194.92,197.34,196.1257142857143,0.21999999999999886,0.7800000000000011,2.0,0
06/25/2018,195.8,3.0,4.0,194.92,196.72,195.9057142857143,-0.09571428571428392,-0.6999999999999886,-2.0,1
06/22/2018,196.5,3.0,4.0,194.92,196.72,196.0014285714286,0.0,0.9799999999999898,-1.0,0
06/21/2018,195.52,3.0,4.0,194.92,196.72,196.0014285714286,-0.19428571428571625,-2.5600000000000023,-2.0,1
06/20/2018,198.08,4.0,3.0,194.92,198.08,196.1957142857143,-0.4885714285714268,-1.309999999999974,-2.0,1
06/19/2018,199.39,5.0,2.0,194.92,199.39,196.68428571428575,-1.3214285714285714,-4.780000000000001,-2.0,1
06/18/2018,204.17,5.0,2.0,195.52,204.17,198.0057142857143,-1.1985714285714266,-0.8000000000000114,-2.0,1
06/15/2018,204.97,5.0,2.0,195.52,204.97,199.20428571428573,-1.1185714285714263,1.3400000000000034,0.0,0
06/14/2018,203.63,5.0,2.0,195.52,204.97,200.32285714285717,-1.1985714285714266,-1.259999999999991,-2.0,1
06/13/2018,204.89,6.0,1.0,195.52,204.97,201.52142857142863,-1.3428571428571396,-0.030000000000001137,-2.0,1
06/12/2018,204.92,6.0,1.0,198.08,204.97,202.8642857142858,-1.0057142857142851,-0.20000000000001705,-2.0,1
06/11/2018,205.12,6.0,1.0,199.39,205.12,203.8700000000001,-1.028571428571431,-1.4699999999999989,-2.0,1
06/08/2018,206.59,5.0,2.0,203.63,206.59,204.8985714285715,-0.1285714285714294,1.5200000000000102,0.0,0
06/07/2018,205.07,4.0,3.0,203.63,206.59,205.0271428571429,0.15857142857142645,1.2099999999999795,-1.0,0
06/06/2018,203.86,4.0,3.0,203.63,206.59,204.86857142857144,0.3471428571428581,2.660000000000025,-1.0,0
06/05/2018,201.2,3.0,4.0,201.2,206.59,204.52142857142857,0.5471428571428548,0.13999999999998636,2.0,0
06/04/2018,201.06,2.0,5.0,201.06,206.59,203.97428571428574,0.7614285714285691,1.4699999999999989,2.0,0
06/01/2018,199.59,1.0,6.0,199.59,206.59,203.21285714285716,1.1271428571428592,2.3600000000000136,2.0,0
05/31/2018,197.23,1.0,6.0,197.23,206.59,202.08571428571426,1.1299999999999994,-1.450000000000017,-1.0,1
05/30/2018,198.68,1.0,6.0,197.23,205.07,200.9557142857143,1.3328571428571403,2.9399999999999977,2.0,0
05/29/2018,195.74,2.0,5.0,195.74,203.86,199.62285714285716,0.6900000000000018,-3.289999999999992,-1.0,1
05/25/2018,199.03,3.0,4.0,195.74,201.2,198.93285714285716,0.25571428571428456,-0.37999999999999545,-1.0,1
05/24/2018,199.41,3.0,4.0,195.74,201.06,198.67714285714283,0.3414285714285735,0.7400000000000091,2.0,0
05/23/2018,198.67,4.0,3.0,195.74,199.59,198.3357142857144,0.08857142857142923,-0.30000000000001137,-2.0,1
05/22/2018,198.97,5.0,2.0,195.74,199.41,198.2471428571429,-0.6471428571428574,-2.789999999999992,-2.0,1
05/21/2018,201.76,4.0,3.0,195.74,201.76,198.89428571428581,-0.04000000000000016,2.7999999999999825,0.0,0
05/18/2018,198.96,5.0,2.0,195.74,201.76,198.93428571428575,-0.6600000000000007,-1.4000000000000057,-2.0,1
05/17/2018,200.36,4.0,3.0,198.67,201.76,199.5942857142858,0.024259935979147586,1.4998195518540456,-1.0,0
05/16/2018,198.86018044814602,4.0,3.0,198.67,201.76,199.5700257783066,-0.2336211438769372,-2.185167558992589,-2.0,1
05/15/2018,201.04534800713856,5.0,2.0,198.67,201.76,199.80364692218362,-0.8146803206708009,-3.3274142375570364,-2.0,1
05/14/2018,204.3727622446956,4.0,3.0,198.86018044814602,204.3727622446956,200.61832724285443,-0.6866867794113439,0.5959547888161865,0.0,0
05/11/2018,203.7768074558794,3.0,4.0,198.86018044814602,204.3727622446956,201.3050140222657,-0.26966913118608965,0.1291235375767883,-1.0,0
05/10/2018,203.64768391830262,3.0,4.0,198.86018044814602,204.3727622446956,201.57468315345184,-0.4412197954732083,1.5991453499901525,-1.0,0
05/09/2018,202.04853856831247,2.0,5.0,198.86018044814602,204.3727622446956,202.01590294892503,-0.0028378799467410373,1.6686734086852653,-1.0,0
05/08/2018,200.3798651596272,2.0,5.0,198.86018044814602,204.3727622446956,202.01874082887176,-0.007094699866846506,1.4700218124133069,-1.0,0
05/07/2018,198.9098433472139,1.0,6.0,198.9098433472139,204.3727622446956,202.02583552873853,0.4327766918784123,0.8939321832242229,2.0,0
05/04/2018,198.01591116398967,0.0,7.0,198.01591116398967,204.3727622446956,201.59305883686017,1.4302914931588353,3.6551893714059247,2.0,0
05/03/2018,194.36072179258375,0.0,7.0,194.36072179258375,203.7768074558794,200.16276734370132,1.5125900116143984,1.1720444180051288,2.0,0
05/02/2018,193.18867737457862,1.0,6.0,193.18867737457862,203.64768391830262,198.6501773320869,1.4203589133452277,-0.516494150307409,-1.0,1
05/01/2018,193.70517152488603,1.0,6.0,193.18867737457862,202.04853856831247,197.22981841874167,1.2813027959547871,0.6257525282570668,2.0,0
04/30/2018,193.07941899662896,2.0,5.0,193.07941899662896,200.3798651596272,195.9485156227869,0.7974442650349829,-1.7183363077533609,-1.0,1
04/27/2018,194.79775530438232,3.0,4.0,193.07941899662896,198.9098433472139,195.151071357752,0.4498039715588708,-0.9634602419194778,-1.0,1
04/26/2018,195.7612155463018,4.0,3.0,193.07941899662896,198.01591116398967,194.70126738619305,0.07378487861533603,-1.7382014673805202,-2.0,1
04/25/2018,197.49941701368232,5.0,2.0,193.07941899662896,197.49941701368232,194.6274825075777,-0.7733222854876617,-2.27456077731506,-2.0,1
04/24/2018,199.77397779099738,6.0,1.0,193.07941899662896,199.77397779099738,195.40080479306545,-3.0336936630690365,-14.650555225064494,-2.0,1
04/23/2018,214.42453301606187,6.0,1.0,193.07941899662896,214.42453301606187,198.43449845613446,-3.225250559474225,-1.857392425143729,-2.0,1
04/20/2018,216.2819254412056,7.0,0.0,193.07941899662896,216.2819254412056,201.65974901560867,-3.4707271748675623,-1.0925837794962945,-2.0,1
04/19/2018,217.3745092207019,7.0,0.0,194.79775530438232,217.3745092207019,205.13047619047626,-3.3203195376901533,-0.6654828475114982,-2.0,1
04/18/2018,218.03999206821342,7.0,0.0,195.7612155463018,218.03999206821342,208.45079572816638,-3.26356193875528,-0.5661570493753629,-2.0,1
04/17/2018,218.6061491175888,6.0,1.0,197.49941701368232,218.6061491175888,211.7143576669217,-2.6761207897793247,2.3738865754511664,0.0,0
04/16/2018,216.2322625421376,5.0,2.0,199.77397779099738,218.6061491175888,214.390478456701,-2.041854621682108,2.1653023993654585,0.0,0
04/13/2018,214.06696014277213,5.0,2.0,214.06696014277213,218.6061491175888,216.43233307838315,-0.07662275856207705,-0.8939321832242797,-2.0,1
04/12/2018,214.9608923259964,4.0,3.0,214.06696014277213,218.6061491175888,216.50895583694518,0.4852774708931682,2.075909181042988,-1.0,0
04/11/2018,212.88498314495342,4.0,3.0,212.88498314495342,218.6061491175888,216.02367836605202,0.26534177502053274,-2.632133650604743,-2.0,1
04/10/2018,215.51711679555817,3.0,4.0,212.88498314495342,218.6061491175888,215.7583365910315,0.9521087221325298,4.141885782272482,2.0,0
04/09/2018,211.37523101328568,2.0,5.0,211.37523101328568,218.6061491175888,214.80622786889896,1.1124489391235386,0.5562244695616982,2.0,0
04/06/2018,210.819006543724,3.0,4.0,210.819006543724,216.2322625421376,213.69377892977542,-0.13763717741707232,-6.37671624033311,-2.0,1
04/05/2018,217.1957227840571,3.0,4.0,210.819006543724,217.1957227840571,213.83141610719247,-0.28946375456786605,1.1025163593099023,-1.0,0
04/04/2018,216.0932064247472,2.0,5.0,210.819006543724,217.1957227840571,214.12087986176041,0.012770459760344823,1.2217073170731965,2.0,0
04/03/2018,214.871499107674,2.0,5.0,210.819006543724,217.1957227840571,214.10810940200005,0.24263873544659226,3.68498711084672,2.0,0
04/02/2018,211.18651199682728,2.0,5.0,210.819006543724,217.1957227840571,213.86547066655342,-0.36041075323646105,-6.853480071386117,-2.0,1
03/29/2018,218.03999206821342,2.0,5.0,210.819006543724,218.03999206821342,214.2258814197899,-0.5292646100677051,2.959908784453773,-1.0,0
03/28/2018,215.08008328375956,2.0,5.0,210.819006543724,218.03999206821342,214.75514602985763,-0.513656270360607,0.6654828475113845,-1.0,0
03/27/2018,214.41460043624824,2.0,5.0,211.18651199682728,218.03999206821342,215.26880230021823,-0.22277357581938872,-4.340537378544582,-2.0,1
03/26/2018,218.75513781479282,2.0,5.0,211.18651199682728,218.75513781479282,215.4915758760376,0.3121667941418106,4.8470989490382985,2.0,0
03/23/2018,213.90803886575446,3.0,4.0,211.18651199682728,218.75513781479282,215.17940908189584,-0.9705549417863486,-7.757344834423917,-2.0,1
03/22/2018,221.66538370017844,4.0,3.0,211.18651199682728,221.66538370017844,216.14996402368214,-3.053558822696232,-10.896040055522464,-2.0,1
03/21/2018,232.5614237557009,3.0,4.0,213.90803886575446,232.5614237557009,219.2035228463784,-1.8346893855698048,1.678605988498873,-1.0,0
03/20/2018,230.88281776720203,3.0,4.0,213.90803886575446,232.5614237557009,221.03821223194817,-2.1312478400045376,0.8839996034106434,-1.0,0
03/19/2018,229.99881816379138,4.0,3.0,213.90803886575446,232.5614237557009,223.1694600719527,-3.0294368431489187,-5.621840174499283,-2.0,1
03/16/2018,235.62065833829067,3.0,4.0,213.90803886575446,235.62065833829067,226.19889691510159,-2.2178031783802017,1.3408982748364338,-1.0,0
03/15/2018,234.27976006345423,3.0,4.0,213.90803886575446,235.62065833829067,228.41670009348184,-2.6860533695929285,1.5693476105492152,-1.0,0
03/14/2018,232.71041245290505,3.0,4.0,221.66538370017844,235.62065833829067,231.10275346307475,-2.0432735616554845,-3.25788617886181,-2.0,1
03/13/2018,235.96829863176688,3.0,4.0,229.99881816379138,235.96829863176688,233.14602702473027,-0.8031200249284812,-2.214965298433441,-2.0,1
03/12/2018,238.18326393020027,4.0,3.0,229.99881816379138,238.18326393020027,233.9491470496587,-1.2628565763009558,-1.5395498711084483,-2.0,1
03/09/2018,239.72281380130872,4.0,3.0,229.99881816379138,239.72281380130872,235.2120036259597,-0.6782533072717456,4.9762224866151135,0.0,0
03/08/2018,234.7465913146936,3.0,4.0,232.71041245290505,239.72281380130872,235.89025693323143,0.2341250956063569,0.7648086456474346,2.0,0
03/07/2018,233.98178266904617,3.0,4.0,232.71041245290505,239.72281380130872,235.65613183762508,0.31358573411517504,1.8971227443981604,2.0,0
03/06/2018,232.084659924648,3.0,4.0,232.084659924648,239.72281380130872,235.34254610351002,0.2100031160590439,0.8442692841562973,2.0,0
03/05/2018,231.24039064049168,2.0,5.0,231.24039064049168,239.72281380130872,235.1325429874509,1.02163678082774,2.423549474519064,2.0,0
03/02/2018,228.81684116597265,2.0,5.0,228.81684116597265,239.72281380130872,234.11090620662318,1.200423217472592,-0.9634602419194778,-1.0,1
03/01/2018,229.78030140789213,2.0,5.0,228.81684116597265,239.72281380130872,232.91048298915055,0.8286609444491708,-4.1418857822723965,-1.0,1
