Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-08-09,109.71,110.16,109.6,109.67,13677211.0,0.0,1.0,109.71,110.16,109.6,109.67,13677211.0
2018-08-08,109.33,109.75,108.7599,109.49,15487502.0,0.0,1.0,109.33,109.75,108.7599,109.49,15487502.0
2018-08-07,108.56,109.1,108.17,108.88,16080214.0,0.0,1.0,108.56,109.1,108.17,108.88,16080214.0
2018-08-06,108.12,108.42,107.559,108.13,20265947.0,0.0,1.0,108.12,108.42,107.559,108.13,20265947.0
2018-08-03,107.8,108.05,106.82,108.04,18659599.0,0.0,1.0,107.8,108.05,106.82,108.04,18659599.0
2018-08-02,105.4,108.09,104.84,107.57,26104258.0,0.0,1.0,105.4,108.09,104.84,107.57,26104258.0
2018-08-01,106.03,106.446,105.42,106.28,23628699.0,0.0,1.0,106.03,106.446,105.42,106.28,23628699.0
2018-07-31,106.49,106.72,105.38,106.08,27655152.0,0.0,1.0,106.49,106.72,105.38,106.08,27655152.0
2018-07-30,107.19,107.53,104.76,105.37,34668327.0,0.0,1.0,107.19,107.53,104.76,105.37,34668327.0
2018-07-27,110.18,110.18,106.14,107.68,37005292.0,0.0,1.0,110.18,110.18,106.14,107.68,37005292.0
2018-07-26,110.74,111.0,109.5,109.62,31372110.0,0.0,1.0,110.74,111.0,109.5,109.62,31372110.0
2018-07-25,107.955,111.15,107.6,110.83,30798058.0,0.0,1.0,107.955,111.15,107.6,110.83,30798058.0
2018-07-24,108.57,108.82,107.26,107.66,26316619.0,0.0,1.0,108.57,108.82,107.26,107.66,26316619.0
2018-07-23,106.3,108.14,106.13,107.97,29706955.0,0.0,1.0,106.3,108.14,106.13,107.97,29706955.0
2018-07-20,108.08,108.2,106.08,106.27,56038827.0,0.0,1.0,108.08,108.2,106.08,106.27,56038827.0
2018-07-19,104.93,105.31,103.89,104.4,40171646.0,0.0,1.0,104.93,105.31,103.89,104.4,40171646.0
2018-07-18,105.94,106.05,104.715,105.12,29493927.0,0.0,1.0,105.94,106.05,104.715,105.12,29493927.0
2018-07-17,104.61,106.5,104.32,105.95,25901726.0,0.0,1.0,104.61,106.5,104.32,105.95,25901726.0
2018-07-16,105.4,105.82,104.515,104.91,21786912.0,0.0,1.0,105.4,105.82,104.515,104.91,21786912.0
2018-07-13,104.37,105.6,104.09,105.43,24653500.0,0.0,1.0,104.37,105.6,104.09,105.43,24653500.0
2018-07-12,102.77,104.41,102.73,104.19,24335929.0,0.0,1.0,102.77,104.41,102.73,104.19,24335929.0
2018-07-11,101.15,102.34,101.1,101.98,19644648.0,0.0,1.0,101.15,102.34,101.1,101.98,19644648.0
2018-07-10,102.0,102.51,101.86,102.12,19293140.0,0.0,1.0,102.0,102.51,101.86,102.12,19293140.0
2018-07-09,101.6452,102.25,101.251,101.85,18211980.0,0.0,1.0,101.6452,102.25,101.251,101.85,18211980.0
2018-07-06,99.885,101.43,99.67,101.16,19234627.0,0.0,1.0,99.885,101.43,99.67,101.16,19234627.0
2018-07-05,99.5,99.92,99.0299,99.76,18977402.0,0.0,1.0,99.5,99.92,99.0299,99.76,18977402.0
2018-07-03,100.48,100.63,98.94,99.05,14670275.0,0.0,1.0,100.48,100.63,98.94,99.05,14670275.0
2018-07-02,98.1,100.06,98.0,100.01,18850112.0,0.0,1.0,98.1,100.06,98.0,100.01,18850112.0
2018-06-29,98.93,99.91,98.33,98.61,28053214.0,0.0,1.0,98.93,99.91,98.33,98.61,28053214.0
2018-06-28,97.38,99.11,97.26,98.63,26650671.0,0.0,1.0,97.38,99.11,97.26,98.63,26650671.0
2018-06-27,99.58,100.02,97.4,97.54,31298386.0,0.0,1.0,99.58,100.02,97.4,97.54,31298386.0
2018-06-26,98.82,100.08,98.75,99.08,26897244.0,0.0,1.0,98.82,100.08,98.75,99.08,26897244.0
2018-06-25,100.0,100.11,97.3,98.39,35433333.0,0.0,1.0,100.0,100.11,97.3,98.39,35433333.0
2018-06-22,100.41,100.77,99.625,100.41,38923105.0,0.0,1.0,100.41,100.77,99.625,100.41,38923105.0
2018-06-21,102.075,102.46,100.88,101.14,23198188.0,0.0,1.0,102.075,102.46,100.88,101.14,23198188.0
2018-06-20,101.37,102.52,101.12,101.87,26180792.0,0.0,1.0,101.37,102.52,101.12,101.87,26180792.0
2018-06-19,99.65,101.0,99.5,100.86,28653087.0,0.0,1.0,99.65,101.0,99.5,100.86,28653087.0
2018-06-18,100.01,101.11,99.42,100.86,23586037.0,0.0,1.0,100.01,101.11,99.42,100.86,23586037.0
2018-06-15,101.51,101.53,100.07,100.13,65738585.0,0.0,1.0,101.51,101.53,100.07,100.13,65738585.0
2018-06-14,101.65,102.03,101.0,101.42,25691811.0,0.0,1.0,101.65,102.03,101.0,101.42,25691811.0
2018-06-13,101.72,102.01,100.56,100.85,29492875.0,0.0,1.0,101.72,102.01,100.56,100.85,29492875.0
2018-06-12,101.1,101.4493,100.75,101.31,18325228.0,0.0,1.0,101.1,101.4493,100.75,101.31,18325228.0
2018-06-11,101.37,101.59,100.67,101.05,23490894.0,0.0,1.0,101.37,101.59,100.67,101.05,23490894.0
2018-06-08,101.0924,101.95,100.54,101.63,22165128.0,0.0,1.0,101.0924,101.95,100.54,101.63,22165128.0
2018-06-07,102.65,102.69,100.38,100.88,28232197.0,0.0,1.0,102.65,102.69,100.38,100.88,28232197.0
2018-06-06,102.48,102.6,101.9,102.49,21122917.0,0.0,1.0,102.48,102.6,101.9,102.49,21122917.0
2018-06-05,102.0,102.33,101.53,102.19,23514402.0,0.0,1.0,102.0,102.33,101.53,102.19,23514402.0
2018-06-04,101.26,101.86,100.851,101.67,27281623.0,0.0,1.0,101.26,101.86,100.851,101.67,27281623.0
2018-06-01,99.2798,100.86,99.17,100.79,28655624.0,0.0,1.0,99.2798,100.86,99.17,100.79,28655624.0
2018-05-31,99.29,99.99,98.61,98.84,34140891.0,0.0,1.0,99.29,99.99,98.61,98.84,34140891.0
