Date,Value USD,Drop 7,Up 7,Min 7,Max 7,Mean 7,Mean Change 7,Change,Predict,Actual
08/01/2018,138.25,2.0,5.0,138.25,140.68,139.66714285714286,0.4671428571428545,1.5099999999999911,2.0,0
07/31/2018,136.74,1.0,6.0,136.74,140.68,139.2,0.6000000000000024,0.2600000000000193,2.0,0
07/30/2018,136.48,2.0,5.0,136.48,140.28,138.59999999999997,-0.0614285714285724,-4.230000000000018,-2.0,1
07/27/2018,140.71,3.0,4.0,136.48,140.71,138.66142857142856,-0.3985714285714274,-1.789999999999992,-2.0,1
07/26/2018,142.5,3.0,4.0,136.48,142.5,139.05999999999997,-0.40285714285714186,-0.13999999999998636,-2.0,1
07/25/2018,142.64,3.0,4.0,136.48,142.64,139.46285714285713,-0.15857142857143053,2.6099999999999848,-1.0,0
07/24/2018,140.03,3.0,3.0,136.48,142.64,139.62142857142857,-0.25428571428571445,0.0,-1.0,1
07/23/2018,140.03,4.0,2.0,136.48,142.64,139.8757142857143,-0.6071428571428571,-0.9600000000000078,-2.0,1
07/20/2018,140.99,4.0,2.0,136.48,142.64,140.48285714285714,-0.5214285714285722,0.8600000000000136,0.0,0
07/19/2018,140.13,4.0,2.0,140.03,142.64,141.00428571428574,-0.02714285714285682,-0.7700000000000102,-2.0,1
07/18/2018,140.9,3.0,3.0,140.03,142.64,141.03142857142862,0.4085714285714305,1.260000000000019,1.0,0
07/17/2018,139.64,2.0,4.0,139.64,142.64,140.62285714285716,0.5971428571428541,1.1799999999999784,2.0,0
07/16/2018,138.46,3.0,3.0,138.46,140.99,140.02571428571432,0.08714285714285909,-0.9599999999999796,-2.0,1
07/13/2018,139.42,4.0,3.0,138.46,140.99,139.93857142857146,0.018571428571427923,-0.4800000000000182,-2.0,1
07/12/2018,139.9,3.0,4.0,138.46,140.99,139.92000000000004,0.4057142857142862,1.75,2.0,0
07/11/2018,138.15,3.0,4.0,138.15,140.9,139.51428571428576,0.4914285714285711,1.460000000000008,2.0,0
07/10/2018,136.69,2.0,5.0,136.69,140.9,139.02285714285722,0.7685714285714279,1.1699999999999875,2.0,0
07/09/2018,135.52,2.0,5.0,135.52,139.9,138.2542857142858,0.7928571428571404,1.4300000000000068,2.0,0
07/06/2018,134.09,2.0,5.0,134.09,139.9,137.46142857142866,0.7385714285714309,0.8000000000000114,2.0,0
07/05/2018,133.29,1.0,6.0,133.29,139.9,136.72285714285724,1.1385714285714283,1.840000000000004,2.0,0
07/03/2018,131.45,1.0,6.0,131.45,139.9,135.58428571428578,1.0571428571428578,-1.0500000000000114,-1.0,1
07/02/2018,132.5,1.0,6.0,131.45,138.15,134.52714285714293,0.8142857142857167,0.05000000000001137,2.0,0
06/29/2018,132.45,2.0,5.0,131.45,136.69,133.71285714285722,0.5642857142857126,-0.2900000000000205,-1.0,1
06/28/2018,132.74,2.0,5.0,131.45,135.52,133.1485714285715,0.6428571428571429,1.7199999999999989,2.0,0
06/27/2018,131.02,3.0,4.0,131.02,134.09,132.50571428571433,0.21999999999999886,-1.5300000000000011,-1.0,1
06/26/2018,132.55,3.0,4.0,131.02,133.29,132.28571428571433,0.337142857142855,1.6200000000000043,2.0,0
06/25/2018,130.93,4.0,3.0,130.93,132.74,131.94857142857148,-0.5542857142857177,-4.400000000000006,-2.0,1
06/22/2018,135.33,3.0,4.0,130.93,135.33,132.50285714285718,-0.2900000000000001,0.8000000000000114,-1.0,0
06/21/2018,134.53,4.0,3.0,130.93,135.33,132.79285714285714,-0.4357142857142873,-0.9699999999999988,-2.0,1
06/20/2018,135.5,3.0,4.0,130.93,135.5,133.22857142857146,-0.33857142857142924,0.3899999999999864,-1.0,0
06/19/2018,135.11,4.0,3.0,130.93,135.5,133.56714285714287,-0.7399999999999969,-1.089999999999975,-2.0,1
06/18/2018,136.2,3.0,4.0,130.93,136.2,134.30714285714288,-0.3642857142857118,1.0999999999999943,-1.0,0
06/15/2018,135.1,3.0,4.0,130.93,136.2,134.67142857142858,-0.5814285714285704,0.09999999999999433,-1.0,0
06/14/2018,135.0,2.0,5.0,134.53,136.2,135.25285714285715,0.13285714285714384,0.5999999999999943,2.0,0
06/13/2018,134.4,3.0,4.0,134.4,136.2,135.12,-0.04714285714285893,-0.46000000000000796,-2.0,1
06/12/2018,134.86,2.0,5.0,134.4,136.2,135.16714285714286,0.2271428571428576,0.9500000000000172,2.0,0
06/11/2018,133.91,3.0,4.0,133.91,136.2,134.94000000000003,0.05285714285714351,-0.8300000000000125,-1.0,1
06/08/2018,134.74,2.0,5.0,133.91,136.2,134.88714285714292,0.337142857142855,0.9000000000000057,2.0,0
06/07/2018,133.84,3.0,4.0,133.84,135.1,134.55,-0.16857142857142954,-2.4399999999999977,-2.0,1
06/06/2018,136.28,3.0,4.0,133.84,136.28,134.71857142857144,0.20571428571428532,2.719999999999999,2.0,0
06/05/2018,133.56,3.0,4.0,133.56,136.28,134.51285714285714,0.19000000000000172,0.4900000000000091,2.0,0
06/04/2018,133.07,2.0,5.0,133.07,136.28,134.32285714285715,0.5728571428571456,2.2199999999999998,2.0,0
06/01/2018,130.85,2.0,5.0,130.85,136.28,133.75000000000003,0.4557142857142854,0.12999999999999545,2.0,0
05/31/2018,130.72,1.0,6.0,130.72,136.28,133.2942857142857,0.585714285714289,0.0800000000000125,2.0,0
05/30/2018,130.64,1.0,6.0,130.64,136.28,132.70857142857145,0.5928571428571436,0.9499999999999886,2.0,0
05/29/2018,129.69,1.0,6.0,129.69,136.28,132.1157142857143,0.7142857142857143,-1.5900000000000034,-1.0,1
05/25/2018,131.28,2.0,5.0,129.69,133.56,131.4014285714286,0.23857142857143085,-0.6099999999999852,-1.0,1
05/24/2018,131.89,2.0,5.0,129.69,133.07,131.16285714285718,0.16999999999999968,0.009999999999990905,2.0,0
05/23/2018,131.88,2.0,5.0,129.69,131.89,130.99285714285722,0.01999999999999805,1.1699999999999875,2.0,0
05/22/2018,130.71,2.0,5.0,129.69,131.89,130.9728571428572,0.008571428571428895,0.05000000000001137,2.0,0
05/21/2018,130.66,2.0,5.0,129.69,131.89,130.96428571428578,0.10142857142856852,0.7299999999999898,2.0,0
05/18/2018,129.93,2.0,4.0,129.69,131.89,130.86285714285722,-0.03428571428571558,0.0,-1.0,1
05/17/2018,129.93,2.0,4.0,129.93,131.89,130.8971428571429,0.08588717644734548,-0.748789764868576,-1.0,1
05/16/2018,130.67878976486858,2.0,4.0,129.93,131.89,130.81125568069558,0.14307844299545586,-0.20966113416321264,-1.0,1
05/15/2018,130.8884508990318,3.0,3.0,129.93,131.88,130.66817723770012,0.12596094316011527,-0.10982249884739304,-2.0,1
05/14/2018,130.9982733978792,4.0,2.0,129.93,130.9982733978792,130.54221629454,-0.12818415332937758,-0.6090156754264626,-2.0,1
05/11/2018,131.60728907330565,4.0,2.0,129.93,131.60728907330565,130.67040044786935,-0.018373180530858242,0.8186768095896468,0.0,0
05/10/2018,130.788612263716,4.0,2.0,129.93,131.60728907330565,130.68877362840024,-0.09983863531581554,0.15974181650528865,0.0,0
05/09/2018,130.62887044721072,4.0,3.0,129.93,131.60728907330565,130.78861226371606,0.03423038925113734,0.93848317196867,-1.0,0
05/08/2018,129.69038727524205,3.0,4.0,129.69038727524205,131.60728907330565,130.75438187446488,0.23248139366397225,0.6389672660212682,2.0,0
05/07/2018,129.05142000922078,2.0,5.0,129.05142000922078,131.60728907330565,130.52190048080092,0.4193222683264172,1.0982249884739022,2.0,0
05/04/2018,127.95319502074688,1.0,6.0,127.95319502074688,131.60728907330565,130.1025782124745,0.5747852861753232,0.9784186260949496,2.0,0
05/03/2018,126.97477639465193,0.0,7.0,126.97477639465193,131.60728907330565,129.52779292629916,0.7758888230257526,0.7987090825265426,2.0,0
05/02/2018,126.17606731212538,1.0,6.0,126.17606731212538,130.788612263716,128.7519041032734,0.4977669103602754,-1.1281765790686933,-1.0,1
05/01/2018,127.30424389119408,1.0,6.0,126.17606731212538,130.62887044721072,128.2541371929131,0.5648014226437539,0.6289834024896379,2.0,0
04/30/2018,126.67526048870444,1.0,6.0,126.17606731212538,129.69038727524205,127.68933577026935,0.5548175591121682,0.8685961272475708,2.0,0
04/27/2018,125.80666436145687,2.0,5.0,125.80666436145687,129.05142000922078,127.13451821115721,0.31092603569781424,-1.06827339787921,-1.0,1
04/26/2018,126.87493775933608,2.0,5.0,125.80666436145687,127.95319502074688,126.82359217545937,0.991255022064154,5.860527893038281,2.0,0
04/25/2018,121.0144098662978,3.0,4.0,121.0144098662978,127.30424389119408,125.83233715339522,0.842923335309229,-0.059903181189525874,-1.0,1
04/24/2018,121.07431304748732,4.0,3.0,121.0144098662978,127.30424389119408,124.98941381808598,0.27384311400909056,-3.1848524665744264,-2.0,1
04/23/2018,124.25916551406175,3.0,4.0,121.0144098662978,127.30424389119408,124.7155707040769,0.4720941184219173,0.259580451821094,2.0,0
04/20/2018,123.99958506224066,3.0,4.0,121.0144098662978,126.87493775933608,124.24347658565495,0.4164697358888207,0.23961272475796136,2.0,0
04/19/2018,123.7599723374827,4.0,3.0,121.0144098662978,126.87493775933608,123.82700684976616,0.21821873147598986,-0.5191609036422449,-2.0,1
04/18/2018,124.27913324112494,3.0,4.0,121.0144098662978,126.87493775933608,123.60878811829016,0.4678153197655247,0.6789027201475335,2.0,0
04/17/2018,123.6002305209774,3.0,4.0,121.0144098662978,124.27913324112494,123.14097279852464,-0.09555983665942287,1.916901798063648,-1.0,0
04/16/2018,121.68332872291376,2.0,5.0,121.07431304748732,124.27913324112494,123.23653263518406,0.07416584337746356,1.1281765790686789,2.0,0
04/13/2018,120.55515214384508,2.0,5.0,120.55515214384508,124.27913324112494,123.1623667918066,0.4835042481722951,-0.3194836330106057,-1.0,1
04/12/2018,120.87463577685568,2.0,5.0,120.55515214384508,124.27913324112494,122.6788625436343,0.630409668708424,1.287918395573996,2.0,0
04/11/2018,119.58671738128169,3.0,4.0,119.58671738128169,124.27913324112494,122.04845287492589,0.4621102548903399,-0.9384831719686276,-1.0,1
04/10/2018,120.52520055325031,2.0,5.0,119.58671738128169,124.27913324112494,121.58634262003555,0.8115454784956861,1.9268856615951788,2.0,0
04/09/2018,118.59831489165514,2.0,5.0,118.59831489165514,123.6002305209774,120.77479714153984,0.8700223934663772,1.0882411249423711,2.0,0
04/06/2018,117.51007376671276,3.0,4.0,117.51007376671276,121.68332872291376,119.90477474807348,0.09841236909701732,-3.4843683725218715,-1.0,1
04/05/2018,120.99444213923464,3.0,4.0,117.51007376671276,120.99444213923464,119.80636237897646,0.13406902456694886,1.3777731673581997,2.0,0
04/04/2018,119.61666897187644,2.0,5.0,117.51007376671276,120.99444213923464,119.6722933544095,0.2667117829151055,0.6090156754264909,2.0,0
04/03/2018,119.00765329644993,2.0,5.0,117.51007376671276,120.99444213923464,119.40558157149441,0.1982510044128288,0.8086929460580592,2.0,0
04/02/2018,118.19896035039189,2.0,5.0,117.51007376671276,120.99444213923464,119.20733056708157,0.15688928406770433,-1.2280152143844991,-1.0,1
03/29/2018,119.42697556477638,2.0,5.0,117.51007376671276,120.99444213923464,119.05044128301384,0.2567279193835219,2.625756108805902,2.0,0
03/28/2018,116.80121945597048,3.0,4.0,116.80121945597048,120.99444213923464,118.79371336363032,0.042787986563922686,-0.4093384047948234,-1.0,1
03/27/2018,117.2105578607653,3.0,4.0,116.80121945597048,120.99444213923464,118.75092537706642,0.07844464203384811,-3.234771784232393,-1.0,1
03/26/2018,120.44532964499771,3.0,4.0,116.80121945597048,120.44532964499771,118.67248073503258,0.4007808074820523,3.634126325495629,2.0,0
03/23/2018,116.81120331950208,4.0,3.0,116.80121945597048,120.44532964499771,118.27169992755054,-0.1126750312849895,-2.9851751959428015,-2.0,1
03/22/2018,119.79637851544487,5.0,2.0,116.80121945597048,120.44532964499771,118.38437495883556,-0.688886583679115,-3.22478792070082,-2.0,1
03/21/2018,123.02116643614569,5.0,2.0,116.80121945597048,123.02116643614569,119.07326154251464,-0.7544948297437912,-1.687272936837232,-2.0,1
03/20/2018,124.70843937298292,5.0,2.0,116.80121945597048,124.70843937298292,119.82775637225843,-0.8871375880919418,1.6972568003688482,0.0,0
03/19/2018,123.01118257261408,5.0,2.0,116.81120331950208,124.70843937298292,120.7148939603504,-1.016927814002506,-1.3178699861687733,-2.0,1
03/16/2018,124.32905255878285,4.0,3.0,116.81120331950208,124.70843937298292,121.73182177435288,-0.39507574260685935,1.118192715537134,0.0,0
03/15/2018,123.21085984324571,4.0,3.0,116.81120331950208,124.70843937298292,122.12689751695973,-0.7958565500889178,0.8286606731212203,0.0,0
03/14/2018,122.3821991701245,4.0,3.0,119.79637851544487,124.70843937298292,122.92275406704866,-0.4578314562339472,-0.6189995389580076,-2.0,1
03/13/2018,123.0011987090825,4.0,3.0,122.3821991701245,124.70843937298292,123.38058552328259,-0.14547915431732658,-1.0383218072844755,-2.0,1
03/12/2018,124.03952051636698,4.0,3.0,122.3821991701245,124.70843937298292,123.52606467759992,0.05705064875189082,-0.2695643153527101,-2.0,1
03/09/2018,124.30908483171969,4.0,3.0,122.3821991701245,124.32905255878285,123.46901402884804,0.1412003556609339,2.286304748732149,-1.0,0
03/08/2018,122.02278008298754,3.0,4.0,122.02278008298754,124.32905255878285,123.32781367318712,0.3822393466376915,0.3694029506685297,2.0,0
03/07/2018,121.653377132319,3.0,4.0,121.653377132319,124.30908483171969,122.94557432654942,0.3351725614173741,0.7887252189949123,2.0,0
03/06/2018,120.8646519133241,4.0,3.0,120.8646519133241,124.30908483171969,122.61040176513204,0.0998386353158196,-0.8186768095896609,-2.0,1
03/05/2018,121.68332872291376,3.0,4.0,120.8646519133241,124.30908483171969,122.51056312981623,0.3465826911677518,1.108208852005518,2.0,0
03/02/2018,120.57511987090824,2.0,5.0,120.57511987090824,124.30908483171969,122.1639804386485,0.5476862280181771,0.3694029506685013,2.0,0
03/01/2018,120.20571692023974,2.0,5.0,120.20571692023974,124.30908483171969,121.61629421063029,0.2239237963511828,-2.53590133702167,-1.0,1
02/28/2018,122.74161825726141,3.0,4.0,120.20571692023974,122.74161825726141,121.3923704142791,-0.16402061516169755,-0.4293061318580129,-2.0,1
02/27/2018,123.17092438911942,4.0,3.0,120.20571692023974,123.17092438911942,121.5563910294408,-0.3907969439504707,-1.2180313508528826,-2.0,1
02/26/2018,124.3889557399723,4.0,3.0,120.20571692023974,124.3889557399723,121.94718797339128,-0.26671178291510345,1.6573213462424832,0.0,0
02/23/2018,122.73163439372982,3.0,4.0,120.20571692023974,124.3889557399723,122.21389975630636,0.2139399328195992,2.5458852005532577,2.0,0
02/22/2018,120.18574919317656,4.0,3.0,120.18574919317656,124.3889557399723,121.99995982348676,0.0484930514391075,-0.04991931765792401,-2.0,1
02/21/2018,120.23566851083449,5.0,2.0,120.18574919317656,124.3889557399723,121.95146677204764,-0.2296288612263737,-1.5774504379898673,-2.0,1
02/20/2018,121.81311894882437,4.0,3.0,120.18574919317656,124.3889557399723,122.18109563327404,0.15546301784891425,0.15974181650534547,-1.0,0
02/16/2018,121.653377132319,4.0,3.0,120.18574919317656,124.3889557399723,122.02563261542512,0.15546301784891015,-0.4293061318580413,-2.0,1
02/15/2018,122.08268326417705,3.0,4.0,120.18574919317656,124.3889557399723,121.87016959757622,0.5658217811118078,1.654479991987401,2.0,0
02/14/2018,120.42820327218963,3.0,4.0,120.18574919317656,122.73163439372982,121.3043478164644,0.6821691946545059,2.4717532410413696,2.0,0
02/13/2018,117.95645003114828,4.0,3.0,117.95645003114828,122.08268326417705,120.62217862180992,0.3013854569645836,-0.11960096327619853,-2.0,1
02/12/2018,118.07605099442448,3.0,4.0,117.95645003114828,122.08268326417705,120.32079316484531,0.6146383012059796,2.142850592031849,2.0,0
02/09/2018,115.93320040239263,2.0,5.0,115.93320040239263,122.08268326417705,119.70615486363936,1.1902483276562512,2.4518197471620344,2.0,0
02/08/2018,113.4813806552306,3.0,4.0,113.4813806552306,122.08268326417705,118.51590653598312,0.3430357141445626,-5.7707464780764735,-1.0,1
02/07/2018,119.25212713330707,3.0,4.0,113.4813806552306,122.08268326417705,118.17287082183854,0.35880288982858943,-0.3189359020698532,-1.0,1
