Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-08-09,140.73,141.24,139.9,140.01,5679260.0,0.0,1.0,140.73,141.24,139.9,140.01,5679260.0
2018-08-08,139.98,140.99,139.83,140.68,5389451.0,0.0,1.0,139.98,140.99,139.83,140.68,5389451.0
2018-08-07,139.98,140.69,139.8726,140.28,10034500.0,0.0,1.0,139.98,140.69,139.8726,140.28,10034500.0
2018-08-06,139.65,140.26,139.05,139.71,5143228.0,0.0,1.0,139.65,140.26,139.05,139.71,5143228.0
2018-08-03,139.29,139.86,137.94,139.82,4617652.0,0.0,1.0,139.29,139.86,137.94,139.82,4617652.0
2018-08-02,137.45,139.19,137.0,138.92,12299201.0,0.0,1.0,137.45,139.19,137.0,138.92,12299201.0
2018-08-01,137.74,138.735,137.41,138.25,7087681.0,0.0,1.0,137.74,138.735,137.41,138.25,7087681.0
2018-07-31,137.13,138.02,135.63,136.74,7680634.0,0.0,1.0,137.13,138.02,135.63,136.74,7680634.0
2018-07-30,140.13,140.42,135.31,136.48,12812351.0,0.0,1.0,140.13,140.42,135.31,136.48,12812351.0
2018-07-27,143.08,143.14,139.21,140.71,7014922.0,0.0,1.0,143.08,143.14,139.21,140.71,7014922.0
2018-07-26,141.61,142.79,139.53,142.5,10520470.0,0.0,1.0,141.61,142.79,139.53,142.5,10520470.0
2018-07-25,140.34,142.77,139.9,142.64,8381181.0,0.0,1.0,140.34,142.77,139.9,142.64,8381181.0
2018-07-24,140.99,141.4725,139.51,140.03,8333962.0,0.0,1.0,140.99,141.4725,139.51,140.03,8333962.0
2018-07-23,140.66,140.97,139.64,140.03,7718053.0,0.0,1.0,140.66,140.97,139.64,140.03,7718053.0
2018-07-20,140.0,141.47,139.92,140.99,7155779.0,0.0,1.0,140.0,141.47,139.92,140.99,7155779.0
2018-07-19,140.95,140.99,139.93,140.13,7935468.0,0.0,1.0,140.95,140.99,139.93,140.13,7935468.0
2018-07-18,139.91,141.17,139.37,140.9,7006271.0,0.0,1.0,139.91,141.17,139.37,140.9,7006271.0
2018-07-17,138.18,139.91,137.42,139.64,5410541.0,0.0,1.0,138.18,139.91,137.42,139.64,5410541.0
2018-07-16,139.42,139.55,138.16,138.46,4970287.0,0.0,1.0,139.42,139.55,138.16,138.46,4970287.0
2018-07-13,139.79,140.03,137.54,139.42,7866197.0,0.0,1.0,139.79,140.03,137.54,139.42,7866197.0
2018-07-12,139.01,139.95,138.66,139.9,11815449.0,0.0,1.0,139.01,139.95,138.66,139.9,11815449.0
2018-07-11,136.63,138.81,136.6,138.15,10643295.0,0.0,1.0,136.63,138.81,136.6,138.15,10643295.0
2018-07-10,135.57,137.33,135.34,136.69,6553196.0,0.0,1.0,135.57,137.33,135.34,136.69,6553196.0
2018-07-09,134.94,135.9689,134.79,135.52,8957168.0,0.0,1.0,134.94,135.9689,134.79,135.52,8957168.0
2018-07-06,133.58,134.28,132.5,134.09,4839785.0,0.0,1.0,133.58,134.28,132.5,134.09,4839785.0
2018-07-05,132.13,133.33,131.83,133.29,4729298.0,0.0,1.0,132.13,133.33,131.83,133.29,4729298.0
2018-07-03,133.01,133.41,131.42,131.45,3621640.0,0.0,1.0,133.01,133.41,131.42,131.45,3621640.0
2018-07-02,131.96,133.05,131.15,132.5,7553628.0,0.0,1.0,131.96,133.05,131.15,132.5,7553628.0
2018-06-29,133.28,134.19,132.45,132.45,7258961.0,0.0,1.0,133.28,134.19,132.45,132.45,7258961.0
2018-06-28,131.0,133.12,130.6535,132.74,6576436.0,0.0,1.0,131.0,133.12,130.6535,132.74,6576436.0
2018-06-27,133.01,133.657,131.01,131.02,7281166.0,0.0,1.0,133.01,133.657,131.01,131.02,7281166.0
2018-06-26,132.11,133.79,131.61,132.55,7733865.0,0.0,1.0,132.11,133.79,131.61,132.55,7733865.0
2018-06-25,134.91,134.91,129.53,130.93,10086236.0,0.0,1.0,134.91,134.91,129.53,130.93,10086236.0
